row_id	dict	wrong	right	wrong_entry_text	right_entry_text
085	ACC	zadarTasaMkzepa	zaqarTasaMkzepa	{#zadarTasaMkzepa#}¦ vedānta by Rāmamiśra. Quoted in Nyāya- siddhāñjana pp. 106. 122. 125. 130.	{#zaqarTasaMkzepa#}¦ Quoted by Śrīnivāsadāsa in Yatīndramatadīpikā.
086	ACC	zadftuvarRana	zaqftuvarRana	{#zadftuvarRana#}¦ kāvya by Kṛṣṇa Bhaṭṭa. Bd. 475. [Page3-141-a+ 44]	{#zaqftuvarRana#}¦ kāvya. Burnell 163^a. <HI>--by Vrajarāja Dīkṣita. Kāvyamālā. ||| {#zaqftuvarRana#}¦ by Viśveśvara, son of Lakṣmīdhara. Mentioned in Kāvyamālā VIII, 52.
087	PWG	BAvavanDana	BAvabanDana	{#BAvavanDana#}¦ ({#BAva#} + {#ba˚#}) <lex>adj.</lex> {%die Herzen verbindend%}: {#preman#} <ls>RAGH. 3,24</ls>.	[no separate entry under this headword]
088	PWG	Dabalapakza	Davalapakza	{#Dabalapakza#}¦ ({#Da˚#} + {#pakza#}) <lex>m.</lex> {%Gans%} <ls>RĀJAN.</ls>_im_<ls>ŚKDR.</ls> — Nach <ls>ŚKDR.</ls> und <ls>WILS.</ls> auch {%die lichte Hälfte eines Mondmonats, die Zeit des zunehmenden Mondes%}.	[no separate entry under this headword]
089	PWG	arTavanDa	arTabanDa	{#arTavanDa#}¦, {#lalitArTabanDaM pattre niveSitamudAharaRaM priyAyAH#} <ls>VIKR. 32</ls>.	{#arTabanDa#}¦ ({#a˚#} + {#pra˚#}) <lex>m.</lex> {%das Band der Begriffe, Worte, Text%} <ls>ŚĀK. 164</ls>.
090	PWG	avakaSa	avakASa	{#avakaSa#}¦ {%das Herableuchten%}: {#nakzatrARAmavakASena puRqarIkaM jAyate#} <ls>PAÑCAV. BR. 18,9,6</ls>. <div n="1">— 2〉 {#(anayoH stanayoH) avakASo na paryAptastava bAhulatAntare#} {%kein Platz, kein Raum für%} <ls>Spr. 3451</ls>. {#AkASamavakASapradAne#} <ls>Verz. d. Oxf. H. 225,a,8 v. u.</ls> {#tamasAmavakASAya#} {%damit die Finsterniss Platz greifen könne%} <ls>Spr. 1588</ls>. {#na DvAntamantarBavane 'vakASaM karoti#} <ls>VARĀH. BṚH. S. 43,33</ls>. {%Gelegenheit%} so <ab>v. a.</ab> {%Musse%} <ls n="VARĀH. BṚH. S.">2879</ls>.	{#avakASa/#}¦ (von {#kAS#} mit {#ava#}) <lex>m.</lex> <div n="1"> 1〉 {%ein auf Etwas gerichteter Blick%}, <ab>techn.</ab> Bezeichnung einiger Sprüche, bei deren Recitation {%auf%} gewisse [Page1-0468] Gegenstände {%geblickt wird%}. <ls>ŚAT. BR. 4,5,6,1</ls>. <ls n="ŚAT. BR.">14,1,4,1</ls>. <ls n="ŚAT. BR. 14,">2,2,51</ls>. <ls>KĀTY. ŚR. 9,7,9</ls>. {%die hierzu Zuzulassenden%} heissen {#avakASya#} <ls>KĀTY. ŚR. 9,8,16</ls>. <ls n="KĀTY. ŚR.">12,5,11</ls>. <ls n="KĀTY. ŚR.">26,7,52</ls>; {%die nicht Zugelassenen%} {#anavakASita#} <ls>HARISV.</ls>_zu_<ls>ŚAT. BR. 4,5,6,5</ls>. <div n="1">— 2〉 {%Platz, Raum, Gelegenheit%} <ls>AK. 3,4,120</ls>. {#avakASezu cokzezu nadItIrezu cEva hi . viviktezu ca tuzyanti dattena pitaraH sadA ..#} <ls>M. 3,207</ls>. {#avakASo vivikto 'yaM mahAnadyoH samAgame#} <ls>R. 2,54,21</ls>. <ls n="R.">5,15,12</ls>. <ls>SUŚR. 1,33,17</ls>. <ls n="SUŚR. 1,">326,11</ls>. <ls>VIKR. 62,15</ls>. {#mahAvakASa#} {%geräumig, weit%} <ls>KAUŚ. 24</ls>. {#yaTAvakASam#} <lex>adv.</lex> {%nach Verhältniss des Raumes%} <ls>ṚV. PRĀT. 15,2</ls>. {#yaTAvakASaM nI#} {%an seinen Platz bringen%} <ls>RAGH. 6,14</ls>. {#asmAkamasti na kaTaMcidihAvakASaH#} <ls>PAÑCAT. IV, 9</ls> (<ab>vgl.</ab> <ls>SĀH. D. 43,19. fgg.</ls>). {#avakASo na SAntvasya rAkzasezviha dfSyate .. na dAnasya na Bedasya nEva yudDasya dfSyate . gatiratra caturRAM hi vAnarARAM mahAtmanAm ..#} <ls>R. 5,9,28</ls>. <ls n="R. 5,9,">29</ls> {#supi cetyasyAvakASaH . vfkzAByAm#} {%die Regel%} {#supi ca#} {%findet Anwendung in dem Beispiele%} {#vf˚#} (<ab>vgl.</ab> {#anavakASa#} und <ls>P. 1,4,1</ls>, <ab>Sch.</ab>) <ls>P. 1,4,2</ls>, <ab>Sch.</ab> {#tato na nyUnatvaSaNkAvakASaH#} <ls>MADHUS.</ls>_in_<ls>Ind. St. 1,14,3</ls>. {#avakASaM kar#} oder {#dA#} {%Platz machen, Raum geben, Einlass geben%}: {#udyamAya ha tamavakASaM karoti#} <ls>ŚAT. BR. 8,5,1,13</ls>. {#taTAparasmA avakASaM na karoti#} <ls n="ŚAT. BR.">13,8,1,19</ls>. <ls n="ŚAT. BR. 13,8,1,">20</ls>. <ls n="ŚAT. BR. 13,8,">3,12</ls>. <ls n="ŚAT. BR.">10,2,2,7</ls>. {#BARqAvakASada#} (Räubern) <ls>M. 9,271</ls>. <ls n="M. 9,">278</ls>. <ls>YĀJÑ. 2,276</ls>. {#Sayane datto 'vakASaH#} <ls>AMAR. 18</ls>. <ls>RAGH. 4,58</ls>. {#tasmAddeyo vipulamatiBirnAvakASo 'DamAnAm#} <ls>PAÑCAT. I, 410</ls>. {#dadO ca nijacitte 'pi so 'vakASaM manoBuvaH#} <ls>KATHĀS. 20,71</ls>. {#asO hi dattvA timirAvakASam#} ({%der Finsterniss Einlass gebend%}) {#astaM vrajatyunnatakowirinduH#} <ls>MṚCCH. 44,22</ls>. {#avakASapradAna#} <ls>GARBHOP.</ls>_in_<ls>Ind. St. 2,66</ls>. {#avakASaM laB#} {%Platz finden, festen Fuss gewinnen, eine günstige Aussicht, Gelegenheit erlangen%}: {#CAyA na mUrCati malopahataprasAde SudDe tu darpaRatale sulaBAvakASA#} <ls>ŚĀK. 191</ls>. {#labDAvakASo me manoraTaH#} <ls n="ŚĀK.">15,10</ls>. {#labDAvakASA me prArTanA#} <ls n="ŚĀK.">17,14</ls>. {#SokAvegadUzite me manasi viveka eva nAvakASaM laBate#} <ls>PRAB. 91,17</ls>. {#labDAvakASastasya#} ({%ihm beizukommen%}) {#aBUt#} <ls>KATHĀS. 5,108</ls>. {#labDAvakASo 'viDyanmAM#} (so ist zu lesen) {#tatra dagDo manoBavaH#} <ls n="KATHĀS.">1,41</ls>. auch {#avakASamAp#} <ls n="KATHĀS.">24,227</ls>. {#avakASaM ruD#} {%keinen Raum geben, hindern, hemmen%}: {#nidrAm — nayanasalilotpIqarudDAvakASAm#} <ls>MEGH. 88</ls>. <div n="1">— 3〉 {%Zwischenraum, Oeffnung%} <ls>AK. 3,4,189</ls>. <ls>SUŚR. 1,359,13</ls>. <ls n="SUŚR.">2,80,12</ls>. {#IzadavakASaM gatvA#} zur <ab>Erkl.</ab> von {#stokamantarA gatvA#} <ab>Sch.</ab> zu <ls>ŚĀK. 8,9</ls>. <div n="1">— 4〉 {%Zwischenzeit%}: {#aTa yAnyUrDvAni krayAdahAni tasminnavakASe 'DvaryuragniM cenoti#} <ls>ŚAT. BR. 6,2,2,29</ls>. <div n="v">— <ab>Vgl.</ab> {#aByavakASa, aBrAvakASika, aBrAvakASin#}. ||| {#avakASa#}¦ 2〉 {#saMprApya mUQabudDInAmavakASam#} {%Gelegenheit ihnen beizukommen%} <ls>Spr. (II) 6886</ls>.
091	PWG	biBedayisu	biBedayizu	{#biBedayisu#}¦ (vom <ab>desid.</ab> des <ab>caus.</ab> von {#Bid#}) <lex>adj.</lex> {%zu entzweien beabsichtigend%} <ls>MBH. 5,5822</ls>.	[no separate entry under this headword]
092	PWG	dIvAkIrtya	divAkIrtya	{#dIvAkI/rtya#}¦ ({#divA#} + {#kI˚#}) <div n="1"> 1〉 <lex>adj.</lex> {%was bei Tage herzusagen, auszusprechen ist%}; <lex>n.</lex> <ab>Bez.</ab> {%bestimmter Recitationen%} oder {%Gesänge%}: {#divAkIrtyamadivA kIrtayantaH sUryo jyotirna tadA jyotirezAm#} <ls>AIT. BR. 5,31</ls>. {#˚pfzWaH sUryasya#} <ls>LĀṬY. 10,3,15</ls>. {#sAma#} <ls>ŚĀṄKH. ŚR. 16,14,13</ls>. <ls>Ind. St. 3,228</ls>. {#taddivAkIttyAnAM brAhmaRe vyAKyAyate#} <ls>ŚAT. BR. 4,1,5,15</ls>. {#tasya devA divAkIrtyEstamo 'pAGnan#} <ls>PAÑCAV. BR. 4,6</ls>. {#mahA˚ (pfzWa)#} <ls>ŚĀṄKH. ŚR. 11,13,1</ls>. <ls n="ŚĀṄKH. ŚR.">14,4,6</ls>. {%mit einer bei Tage (nach Sonnenuntergang) stattfindenden Recitation <ab>u. s. w.</ab> versehen%}: {#ahaH#} <ls>AIT. BR. 4,18</ls>. <ab>Schol.</ab> zu <ls>KĀTY. ŚR. 13,2,20</ls>. <ls>PAÑCAV. BR. 23,16</ls>. <ls>ṢAḌV. BR. 3,12</ls>. <ls>KĀṬH. 30,5</ls>. <div n="1">— 2〉 <lex>m.</lex> {%ein%} <is>Caṇḍāla</is> (<ab>vgl.</ab> {#divAkIrti#}): {#antaHSave grAme 'ntardivAkIrtye#} ({#anaDyAyaH#}) <ls>PĀR. GṚHY. 2,11</ls>.	{#divAkIrtya^#}¦ (so zu lesen) <div n="1"> 1〉 <ls>TS. 7,3,10,1</ls>. <div n="v">— <ab>Vgl.</ab> {#mahA˚#}.
093	PWG	duzwu	duzWu	{#duzwu/#}¦ (<hom>2.</hom> {#duz#} + {#sTu#} von {#sTA#}) <ls>UṆĀDIS. 1,26</ls>. <is>gaṇa</is> {#udgAtrAdi#} zu <ls>P. 5,1,129</ls>. <lex>adj.</lex> {%sich schlecht betragend%} <ls>UJJVAL.</ls> <lex>adv.</lex> einen {%Tadel%} bezeichnend <is>gaṇa</is> {#svarAdi#} zu <ls>P. 1,1,37</ls>. <is>gaṇa</is> {#suzAmAdi#} (hier fälschlich {#suzwu#}) zu <ls>P. 8,3,98</ls>. <ls>AK. 3,5,19</ls>. <ls>H. 1541</ls>. <div n="v">— <ab>Vgl.</ab> {#dOzWava, suzWu#}.	{#duzWu#}¦ <ab>Z.</ab> 3 lies {#duzwu#} <ab>st.</ab> {#suzwu#}.
094	PWG	paRavanDa	paRabanDa	{#paRavanDa#}¦ ({#paRa#} + {#ba˚#}) <lex>m.</lex> {%das Abschliessen eines Vertrags%} <ls>RAGH. 8,21</ls>. <ls n="RAGH.">10,87</ls>. <ab>Schol.</ab> zu <ls>P. 3,4,8</ls>. <ls n="P.">6,2,154</ls>.	{#paRabanDa#}¦ <ls>DAŚAK.</ls>_in_<ls>BENF. Chr. 191,16</ls>. {#dAsya˚#} {%eine Wette um%} <ls n="BENF. Chr.">183,20</ls>.
