# SKD -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 103 headwords that LOOK like misspellings but which SKD records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS SKD.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the SKD entry text

# ===== VARIA-LECTIO (3) =====
citrataRqulA   -> citrataRqula   | citrataRqulA, strI, (citro nAnAvarRastaRqulo yasyAH .) viqaNgam . ityamaraH . 2 . 4 . 106 .. (yaTAsyAH paryyAyAH . “puMsi klIve viqaNgaH syAt kfmiGno jantunASan
daRqakA        -> daRqaka        | daRqakA, strI, (daRqaka + strIliNgatvAdatra wAp .) janasTAnam . daRqakAraRyam . iti jawADaraH .. (yaTA, rAmAyaRe . 2 . 30 . 39 . “mama sannA matiH sIte ! netuM 
dfSI           -> dfSi           | dfSI, strI, (dfSyate'nayeti . dfS + in . sa ca kit . vA NIz .) cakzuH . iti Sabda- ratnAvalI .. (yaTA, -- “kiM samBUtaM rucirayordvijaSfNgayoste maDye kfSo vaha
dfSat          -> dfzat          | dfSat, [d] strI, (dfzat . pfzodarAditvAt sADuH .) pAzARaH . ityamaraH . 2 . 3 . 4 .. nizpezaRaSilApawwam . iti medinI . de, 32 ..
duHsamam       -> duHzamam       | duHsamam, tri, (duHzamam . bAhulakAt zatvA- BAvaH .) asamaYjasam . iti trikARqaSezaH ..
duzwA          -> duzwa          | duzwA, strI, (duzyati sma yonidozeReti . duz + kta + wAp .) puMScalI . iti SabdaratnAvalI ..
dvimuKA        -> dvimuKa        | dvimuKA, strI, (dve muKe yasyAH .) karkarI . iti SabdacandrikA .. gAqu iti BAzA . jalOkAH . [Page2-770-a+ 52] iti halAyuDaH .. jo~ka iti BAzA .. (yaTA, suSrute 
granTiparRA    -> granTiparRa    | granTiparRA, strI, (granTiparRa + wAp .) jatukAlatA . iti rAjanirGaRwaH ..
haMsArUQA      -> haMsArUQa      | haMsArUQA, strI, (haMsamArUQA .) brahmARI . yaTA, “caturmuKIM jagadDAtrIM haMsArUQAM varapradAm . sfzwirUpAM mahABAgAM brahmARIM tAM namA myaham ..” iti bfhanna
hfdayeSA       -> hfdayeSa       | hfdayeSA, strI, (hfdayasya ISA .) BAryyA . yaTA, “preyasI dayitA kAntA prAReSA vallaBA priyA . hfdayeSA prARasamA prezWA praRayinI ca sA ..” iti hemacandraH ..
jYAtA          -> jYAta          | jYAtA, [f] tri, (jYA + tfc .) jYAnaSIlaH . tat- paryyAyaH . viduraH 2 binduH 3 . ityamaraH . 3 . 1 . 30 .. viditaH 4 jYAnasamanvitaH 5 . iti SabdaratnAvalI ..
janakArI       -> janakarI       | janakArI, [n], puM, (janAn kirati AcCA- dayati svavarReneti . kF AcCAdane + RiniH .) alaktakaH . iti rAjanirGaRwaH .. [Page2-506-a+ 52] janaNgamaH, puM, (janeBy
kOzikI         -> kOSikI         | kOzikI, strI, (kOSikI + pfzodarAt zakArA- deSaH .) kOSikI . iti medinI .. kAlikA- kAyakozaniHsftadevIviSezaH . yaTA, -- “kAyakozAnniHsftA yA kAlikAyAstu BErava 
kacA           -> kaca           | kacA, strI, (kacyate ruDyate lOhaSfNKalAdiBiriti yadvA kacate SoBate rAjagfhe iti .) kaca + ac + wAp .) hastinI iti medinI .. SoBA . iti SabdaratnAvalI ..
kanyasA        -> kanyasa        | kanyasA, strI, (kanyasa + wAp .) kanizWaBaginI . ityamarawIkA ..
kapilADArA     -> kapilaDArA     | kapilADArA, strI, (kapilAnAM DArA iva dugDaDArA- sadfSI SudDA DArA yasyAH . yadvA kapilAnAM dugDaDArABiH samBUtA nirmmalA DArA yasyAH . saMjYAyAM NyAporiti pARi
karacCadA      -> karacCada      | karacCadA, strI, (kara iva kiraRa iva lIhitavarRaH CadaH puzpaM yasyAH . kara iva AvarakaSCado vA yasyAH .) sindUrapuzpIvfkzaH . iti rAjanirGaRwaH ..
karpAsI        -> kArpAsI        | karpAsI, strI, (karpAsa iti jAtitvAt gOrA- ditvAt vA NIz .) kArpAsI . iti BarataH .. kApAsagACa iti BAzA ..
karzaPalA      -> karzaPala      | karzaPalA, strI, (karzaPala + wAp .) AmalakIvfkzaH . iti ratnamAlA .. (AmalakISabde'syA guRAdikaM jYAtavyam ..)
kelikilA       -> kelikila       | kelikilA, strI, (kelinA vihAreRa kilatIti kil + kaH . tataH wAp .) ratiH . sA tu kAma- devapatnI . iti trikARqaSezaH ..
kftaPalA       -> kftaPala       | kftaPalA, strI, (kftaM PalaM asyAH .) kolaSimbI iti rAjanirGaRwaH ..
kzmAyitA       -> kzmAyita       | kzmAyitA, [f] tri, (kzmAya + tfcpratyayaH .) kampakaH . iti vyAkaraRam ..
mAtariSvA      -> mAtariSva      | mAtariSvA, puM, (mAtari antarIkze Svayati vardDate iti . yadbA, mAtari jananyAM Svayati vardDate saptasaptakatvAditi . Svi + “Svan ukza- nniti .” uRA0 1 . 158 .
maDurakaRwakA  -> maDurakaRwaka  | maDurakaRwakA, strI, (maDurAH kaRwakA yasyAH .) matsyaviSezaH . tatparyyAyaH . kajjalI 2 kajjalA 3 anantA 4 mADvI 5 . iti SabdaratnAvalI ..
maGavAn        -> maGavan        | maGavAn, [t] puM, (BaGavat . “maGavA bahulam .” 6 . 4 . 128 . iti pakze tf-AdeSaH . f it .) indraH . ityamarawIkAyAM ramAnATaH . vyAkaraRaYca .. (yaTA, mahABAra
madodagrA      -> madodagra      | madodagrA, strI, (madena udagrA .) nArI . iti Sabda mAlA .. (madodDate, tri . yaTA, raGO . 4 . 22 . “madodagrAH kakudmantaH saritAM kulamudrujAH .”)
mallikAKyA     -> mallikAKya     | mallikAKyA, strI, (malliketi AKyA yasyAH .) tripuramAlIpuzpam . tatparyyAyaH . mohinI 2 vawapatrA 3 mohanA 4 . iti ratnamAlA ..
misra          -> miSra          | misra t ka yutyAm . iti kavikalpadrumaH .. (curA0- para0-saka0-sew .) tAlavyamaDyo'yam . dantya- maDya iti varRadeSanAyAm . yutiH saMyojanam . misrayati misrApa
muktAsPowA     -> muktAsPowa     | muktAsPowA, strI, (muktAsPowa + wAp .) SuktiH . iti rAjanirGaRwaH ..
nABI           -> nABi           | nABI, strI, (nABi + vA NIz .) nABiH . iti SabdaratnAvalI .. (yaTA, AryyAsaptaSatyAm . 608 . [Page2-861-c+ 52] “sanaKapadamaDikagOraM nABImUlaM niraMSukaM kftvA 
nIcikI         -> nicikI         | nIcikI, strI, nEcikI . ityamarawIkAyAM BarataH ..
nIlapiNgalA    -> nIlapiNgala    | nIlapiNgalA, strI, (nIlA piNgalA ceti karmma- DArayaH .) gojAtiviSezaH . yaTA, -- “gavAM jAtintu vakzyAmi SfRuzvEkamanA dvija ! . praTamA gOrakapilA dbitIyA gOr
navatI         -> navati         | navatI, strI, (navatiH + kfdikArAditi vA NIz .) navatiH . iti SabdaratnAvalI ..
nfpAtmajA      -> nfpAtmaja      | nfpAtmajA, strI, (nfpasya Atmajeva . sudfSyatvAt taTAtvam .) kawutumbI . iti ratnamAlA .. (nfpasya AtmajA kanyA .) rAjakanyA . yaTA, “svayambaraM BImanfpAtmajAy
nirUQA         -> nirUQa         | nirUQA, strI, (nirUQa + striyAM wAp .) lakzaRA- viSezaH . yaTA . “kAcit lakzatAvacCedakI- BUtatattadrUpeRa pUrvvapUrvvaM pratyAyakatvAt nirUQA . yaTA AruRyAdipr
padvA          -> padva          | padvA, [n] puM, (padyate gamyate yatra . pada gatO + “snAmadipadIti .” uRAM . 4 . 112 . iti vanip .) patTAH . iti saMkziptasAroRAdivfttiH ..
pavitA         -> pavita         | pavitA [f], tri, (punAtIti . pU + tfc .) pavitratAkArakaH . yaTA, nEzaDe . “tanuSriyA yasya tfRaM sa manmaTaH kulaSriyA yaH pavitAsmadanvayam ..”
piYjA          -> piYja          | piYjA, strI, (piYjyate sPowyate iti . piYja + guroScetyaH . tatazwAp .) tUlam . haridrA . iti trikARqaSezaH .. CaqI . CaqA iti BAzA .. yaTA, SabdamAlAyAm . “pro
puzyA          -> puzya          | puzyA, strI, (puzRAti kAryyARIti . puz + kyap yat vA . nipAtanAt sADuH . tatazwAp .) puzya- nakzatram . iti SabdaratnAvalI .. (yaTA, indra- jAlatantrasaMgrahe .
rAjA           -> rAja           | rAjA, [n] puM, (rAjate SoBate iti . rAj + “kaRin yuvfzitakzirAjIti .” uRA0 1 . 156 . iti kaRin .) praBuH . nfpatiH . (yaTA- raGuH . 4 . 11 . “yaTA prahlAdanAt c
rasADikA       -> rasADika       | rasADikA, strI, (rasena aDikA .) kAkolI- drAkzA . iti rAjanirGaRwaH ..
sPurja         -> sPUrja         | sPu(sPU)rja, wu o A vajranirzoze .. (BvA0-sara0- aka0-sew .) wu, sPurjaTuH . o, sPUrRaH . A, sPUjitaM sPURe tena . vajranirGozo vajrakarttfka- SabdaH . sTUrjati
sTUlaSAwakA    -> sTUlaSAwaka    | sTUlaSAwakA, strI, sTUlavastram . ityamarawIkA . 2 . 6 . 116 ..
saYjA          -> saYja          | saYjA, strI, CAgI . iti trikARqaSezaH ..
samarTanA      -> samarTana      | samarTanA, strI, (sam + arTa + yuc . wAp .) aSakye'DyavasAyaH . yaTA . sinDumapi Soza- yARi . iti mugDaboDavyAkaraRam .. samarTanam . iti SabdaratnAvalI .. (yaT
sampUrRA       -> sampUrRa       | sampUrRA, strI, (sampUrRa + wAp .) ekAdaSI- viSezaH . sA tu pUrvvAruRodayavyApinI satI zazwidaRqAtmikA . yaTA, -- “AdityodayavelAyAH prANmuhUrttadbayAnvitA . sE
satyApanA      -> satyApana      | satyApanA, strI, (satyasya karaRam . satya + satyApapASeti . 3 . 1 . 25 . iti Ric Apuk ca tato yuc .) satyAkftiH . ityamara- wIkAyAM vopAlitaH ..
surezwA        -> surezwa        | surezwA, strI, (surARAmizwA .) brAhmI . iti rAjanirGaRwaH ..
svIyA          -> svIya          | svIyA, strI, (svasyeyamiti . sva + CaH . wAp .) nAyikABedaH . tasyA lakzaRam . svAminye- vAnuraktA pativratA iti yAvat . asyAScezwA svAmiSuSrUzA SIlarakzA saral
tAlaDvajA      -> tAlaDvaja      | tAlaDvajA, strI, (tAlastAlavfkzo DvajaScihnaM yasyAH .) purIviSezaH . yaTA, kriyAyogasAre . “asti tAlaDvajA nAma nagarI tridivopamA ..”
tAmravarRA     -> tAmravarRa     | tAmravarRA, strI, (tAmrasyeva varRamasyA iti . wAp .) oqrapuzpavfkzaH . iti SabdacandrikA ..
tfzAhA         -> tfzAha         | tfzAhA, strI, (tfzAM hantIti . hana + qaH + wAp .) maDurikA . iti SabdacandrikA ..
trapuzI        -> trapusI        | trapuzI, strI, (trapuza + gOrAditvAt NIz .) karkkawI . iti hemacandraH . 4 . 255 .. (yaTA, “pawolakErvvArutrapuzyalAvUH ..” iti hArIte praTamesTAne daSame'DyAye
trowI          -> trowi          | trowI, strI, (trowi + kfdikArAditi vA NIz .) trowiH . iti SabdaratnAvalI ..
tvaksuganDA    -> tvaksuganDa    | tvaksuganDA, strI, (tvaci suganDo yasyAH .) ela- bAlukanAmaganDadravyam . iti jawADaraH ..
udvahA         -> udvaha         | udvahA, strI, (udvaha + wAp .) kanyA . puttrI . iti hemacandraH ..
vahalA         -> vahala         | vahalA, strI, (vahalAni pracurARi puzpARi santyasyA iti . arSaAditvAdac .) Sata- puzpA . iti rAjanirGaRwaH .. sTUlElA . iti BAvaprakASaH .. (asyAH paryyAyo yaTA
vfhadelA       -> bfhadelA       | vf(bf)hadelA, strI, (vfhatI elA .) sTUlElA . iti rAjanirGaRwaH ..
vfhadvAruRI    -> bfhadvAruRI    | vf(bf)hadvAruRI, strI, mahendravAruRI . iti rAja- nirGaRwaH ..
vfhajjIvantI   -> bfhajjIvantI   | vf(bf)hajjIvantI, strI, vfhajjIvantikAvfkzaH . tatparyyAyaH . patraBadrA 2 priyaNkarI 3 maDurA 4 jIvapuzwA 5 bfhajjIvA 6 yaSaskarI 7 . asyA guRAH . bahuvIryyadA
vfhatpuzpI     -> bfhatpuzpI     | vf(bf)hatpuzpI, strI, (vfhat puzpaM yasyAH . NIz .) GaRwAravA . iti jawADaraH ..
viSvasahA      -> viSvasaha      | viSvasahA, strI, agnijihvAviSezaH . yaTA, -- “hetiH SiKA ca saptAgnerjihvAstA eva kIrttitAH . kAlI karAlI suhitA DUmravarRA manojavA . sPuliNginI viSvasahA saMj
vijitA         -> vijita         | vijitA, [f] tri, (vija + tfc .) pfTak . BItaH . kampitaH . rati vijaDAtvarTadarSanAt ..
vimbI          -> bimbI          | vi(bi)mbI, strI, (vimba + gOrAditvAt NIz .) bimbikA . iti SabdaratnAvalI .. (yaTA, -- “kAkAdanIM citraPalAM vimbIM guYjASca DArayet ..” iti suSrute uttaratantre
vratatI        -> vratati        | vratatI, strI, (vratati + pakze NIz .) vistAraH . latA . iti BaratadvirUpakozaH .. (yaTA, raGuH . 14 . 1 . “apaSyatAM dASaraTI jananyO CedAdivopaGnatarorvrataty
yAmaGozA       -> yAmaGoza       | yAmaGozA, strI, (yAme yAme Gozo'syAH . yAmAn praharAn Gozati SabdAyata iti vA . Guz + ac . wAp .) yantraviSezaH . GaqI iti BAzA . tatpayAryyaH . nAlI 2 GawI 3 y
yud            -> yuD            | yud, [D] strI, (yoDanamiti . yuD + kvip .) yudDam . ityamaraH . 2 . 8 . 106 .. (yaTA, rAmAyaRe . 2 . 51 . 10 . “yo na devAsurEH sarvvEH SakyaH prasahituM yuDi .
yuza           -> yUza           | yuza, Bajane . iti kavikalpadrumaH .. sOtraDAtu- rayam . (para0-saka0-sew .) yozit yuzmad . iti durgAdAsaH ..
