# VCP -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 408 headwords that LOOK like misspellings but which VCP records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS VCP.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the VCP entry text

# ===== VARIA-LECTIO (2) =====
mahAbIra       -> mahAvIra       | {{Lbody=37963}}  (redirect -> mahAvIra)
marIcapattraka -> maricapattraka | {{Lbody=37724}}  (redirect -> maricapattraka)
mattakAsinI    -> mattakASinI    | {{Lbody=37394}}  (redirect -> mattakASinI)
meKalAdrijA    -> mekalAdrijA    | {{Lbody=38620}}  (redirect -> mekalAdrijA)
meqa           -> meda           | {{Lbody=38642}}  (redirect -> mewa)
nAndiGoza      -> nandiGoza      | {{Lbody=28467}}  (redirect -> nAndIGoza)
nagarOzaDI     -> nagarOzaDi     | {{Lbody=27814}}  (redirect -> nagarOzaDi)
navatI         -> navati         | {{Lbody=28163}}  (redirect -> navati)
netrABisyanda  -> netrABizyanda  | {{Lbody=29728}}  (redirect -> netrABizyanda)
netrOzaDi      -> netrOzaDI      | {{Lbody=29735}}  (redirect -> netrOzaDI)
nfpasaBA       -> nfpasaBa       | {{Lbody=29660}}  (redirect -> nfpasaBa)
nfsenA         -> nfsena         | {{Lbody=29694}}  (redirect -> nfsena)
nirudDaprakasa -> nirudDaprakaSa | {{Lbody=28988}}  (redirect -> nirudDaprakaza)
pAMsupatra     -> pAMSupatra     | {{Lbody=31432}}  (redirect -> pAMSupatra)
pItavIjA       -> pItabIjA       | {{Lbody=32303}}  (redirect -> pItabIjA)
parARasA       -> parAnasA       | {{Lbody=30793}}  (redirect -> parAnasA)
parIyoga       -> pariyoga       | {{Lbody=30982}}  (redirect -> pariyoga)
parasvaDa      -> paraSvaDa      | {{Lbody=30756}}  (redirect -> paraSvaDa)
parizpanda     -> parispanda     | {{Lbody=31060}}  (redirect -> parispanda)
pattraSirA     -> pattrasirA     | {{Lbody=30428}}  (redirect -> pattrasirA)
prabaRa        -> pravaRa        | {{Lbody=34274}}  (redirect -> pravaRa)
pratibanDI     -> pratibanDi     | {{Lbody=33749}}  (redirect -> pratibanDi)
qahU           -> qahu           | {{Lbody=21759}}  (redirect -> qahu)
rASikfta       -> rASIkfta       | {{Lbody=39625}}  (redirect -> rASIkfta)
rAjIPalA       -> rAjiPalA       | {{Lbody=39553}}  (redirect -> rAjiPalA)
rudantIkA      -> rudantikA      | {{Lbody=39717}}  (redirect -> rudantikA)
sUrmma         -> SUrmma         | {{Lbody=43902}}  (redirect -> SUrmma)
sawI           -> satI           | {{Lbody=44929}}  (redirect -> sawi)
